ネタメモ：ゾーニング,,
2,気づいたら“どう集めるか”のことばっか考えて、“誰に来てほしいか”が空っぽになってた,
3,だから店の発信も、オペレーションも、なんか全部ブレてくる,
4,届けたい人”を忘れたら、何も届かなくなるんです,
5,予約が埋まる店は、“うちはこういう人に来てほしい”をずっと語り続けてる,
6,“なぜこの店を始めたのか”──最近、誰かにちゃんと話しましたか？,
7,僕も昔、毎日バタバタしすぎて、“想いを語る余裕”なんてなかったです,
8,“語るより動け”って、気づいたらずっと走りっぱなしやったんです,
9,でも語らんまま続けてたら、想いじゃなくて“作業”だけが残ってました,
10,僕が見てきた“予約が埋まる店”って、例外なく“なぜこの店をやってるか”を語れるんですよ,
11,想いを言葉にできてる店って、“迷わない”んです,
12,夢って、“看板のない道”に立ってる旗みたいなもんで──語らんかったら、誰もこっち来ないんですよね,
13,まず“なぜこのお店をやってるのか”を、自分の言葉で言えるようにしてください,
14,難しく考えず、“昔誰に何を届けたかったか”──それを思い出して、書き出してみてください,
15,うまく言えなくても大丈夫。“話そうとしてる姿勢”に、人は共感します,
16,僕も昔、“語るのは照れくさい”って黙ってた。でも言葉にした瞬間、応援してくれる人が現れました,
17,あなたのお店なんで始めたのか”、よかったらコメントで聞かせてください,
,,
ネタメモ：スタッフが辞めない育成、実は評価制度より先にやるべきことがある,,
シーン,①セリフを考える（ライティング）,
1,人事評価って、“評価”じゃなくて“信頼”から始まるんですよ,
2,昇給基準つくった、評価項目決めた──それでも“人が定着しない”って悩んでませんか？,
3,数字で評価してるのに、“なんで辞めるん？”って、本気で困ってる店、多いです,
4,でも評価って、“信頼関係の上”にしか成り立たないんです,
5,信頼がないまま制度だけ作ると、“管理されてる感”だけが残って逆効果なんですよ,
6,評価制度自体がなんか冷たく感じる気がする──って思われてたんです,
7,僕も、“制度で整えたら大丈夫”って思い込んでた時期がありました,
8,でも実際は、“伝わってるかどうか”じゃなくて、“見てもらえてるかどうか”だったんですよね,
9,制度だけで現場を回そうとすると、“信頼されない会社”って空気だけ残るんです」,
10,信頼がないまま評価制度だけ整えると、現場に“冷たさ”だけが残るんです,
11,だから一番大事なのは、“評価”より前に“関わる姿勢”なんです,
12,信頼ないまま評価されるって、“顔見たことない上司に通知だけ届く”みたいなもんです,
13,辞めない育成は、“関わり方を設計すること”から始まります,
14,1on1、声かけ、日報の返信──“ちゃんと見てるよ”って伝わる関わり方が、信頼をつくるんです,
15,評価制度は“整理”の道具、信頼は“土台”──順番を間違えると、全部崩れます,
16,"昔、“制度で解決できる”って思ってた僕自身に聞かせたい
結局、スタッフが求めてたのは“関わり”でした",
17,1人でいい。“最近ちゃんと関われてない人”に、明日ひと声かけてみてください,
,,
ネタメモ：予約ゼロ→満席に変えた価格の順番　値下げより設計が先,,
シーン,①セリフを考える（ライティング）,
1,価格下げたら人が来る”って、思い込んでませんか？,
2,ちょっと安くしたら変わるかな”って値下げしたけど、結局予約はゼロのまま,
3,むしろ安く見えて、“価値なさそう”って思われてたんです,
4,価格って、“伝え方と順番”で決まるんです,
5,設計がズレたまま価格だけいじっても、“安いのに響かない”って状態になるんです,
6,値段いじるのって、“他に打つ手がない”ときの最後の手段になってませんか？,
7,僕も昔、“とりあえず価格下げとこう”ってやってました,
8,でも実際は、“伝え方と順番”がめちゃくちゃズレてただけだったんです,
9,価格だけいじっても、“意味が伝わってない店”には誰も来ないんです,
10,"予約が埋まった店は、“価格を変えた”んじゃなくて、“価格を設計し直した”んです
",
